COUNTY,AMI Category,1 Person Limit ($),2 Person Limit ($),3 Person Limit ($),4 Person Limit ($),5 Person Limit ($),6 Person Limit ($),7 Person Limit ($),8 Person Limit ($),0 Bedroom Limit ($),1 Bedroom Limit ($),2 Bedroom Limit ($),3 Bedroom Limit ($),4 Bedroom Limit ($),5 Bedroom Limit ($),Median Income ($),Datasource,Report Name,URL
Alachua County,30%,"20,050","22,900","25,820","31,200","36,580","41,960","47,340","52,720",501,536,645,847,"1,049","1,250","96,700",Florida Housing Finance Corporation,SHIP and HHRP - 2024 Combined Income and Rent Limits (Eff. 4-1-2024),https://www.floridahousing.org/owners-and-managers/compliance/income-limits
Alachua County,50%,"33,350","38,150","42,900","47,650","51,500","55,300","59,100","62,900",833,893,"1,072","1,239","1,382","1,525","96,700",Florida Housing Finance Corporation,SHIP and HHRP - 2024 Combined Income and Rent Limits (Eff. 4-1-2024),https://www.floridahousing.org/owners-and-managers/compliance/income-limits
Alachua County,80%,"53,400","61,000","68,650","76,250","82,350","88,450","94,550","100,650","1,335","1,430","1,716","1,982","2,211","2,440","96,700",Florida Housing Finance Corporation,SHIP and HHRP - 2024 Combined Income and Rent Limits (Eff. 4-1-2024),https://www.floridahousing.org/owners-and-managers/compliance/income-limits
Alachua County,120%,"80,040","91,560","102,960","114,360","123,600","132,720","141,840","150,960","2,001","2,145","2,574","2,974","3,318","3,660","96,700",Florida Housing Finance Corporation,SHIP and HHRP - 2024 Combined Income and Rent Limits (Eff. 4-1-2024),https://www.floridahousing.org/owners-and-managers/compliance/income-limits
Alachua County,140%,"93,380","106,820","120,120","133,420","144,200","154,840","165,480","176,120","2,334","2,502","3,003","3,470","3,871","4,270","96,700",Florida Housing Finance Corporation,SHIP and HHRP - 2024 Combined Income and Rent Limits (Eff. 4-1-2024),https://www.floridahousing.org/owners-and-managers/compliance/income-limits
Baker County,30%,"18,200","20,800","25,820","31,200","36,580","41,960","47,340","52,720",455,487,645,847,"1,049","1,250","86,500",Florida Housing Finance Corporation,SHIP and HHRP - 2024 Combined Income and Rent Limits (Eff. 4-1-2024),https://www.floridahousing.org/owners-and-managers/compliance/income-limits
Baker County,50%,"30,300","34,600","38,950","43,250","46,750","50,200","53,650","57,100",757,811,973,"1,125","1,255","1,384","86,500",Florida Housing Finance Corporation,SHIP and HHRP - 2024 Combined Income and Rent Limits (Eff. 4-1-2024),https://www.floridahousing.org/owners-and-managers/compliance/income-limits
Baker County,80%,"48,450","55,400","62,300","69,200","74,750","80,300","85,850","91,350","1,211","1,298","1,557","1,799","2,007","2,215","86,500",Florida Housing Finance Corporation,SHIP and HHRP - 2024 Combined Income and Rent Limits (Eff. 4-1-2024),https://www.floridahousing.org/owners-and-managers/compliance/income-limits
Baker County,120%,"72,720","83,040","93,480","103,800","112,200","120,480","128,760","137,040","1,818","1,947","2,337","2,700","3,012","3,322","86,500",Florida Housing Finance Corporation,SHIP and HHRP - 2024 Combined Income and Rent Limits (Eff. 4-1-2024),https://www.floridahousing.org/owners-and-managers/compliance/income-limits
Baker County,140%,"84,840","96,880","109,060","121,100","130,900","140,560","150,220","159,880","2,121","2,271","2,726","3,150","3,514","3,876","86,500",Florida Housing Finance Corporation,SHIP and HHRP - 2024 Combined Income and Rent Limits (Eff. 4-1-2024),https://www.floridahousing.org/owners-and-managers/compliance/income-limits
