COUNTY,Geography,Occupation,Median Hourly Wage (2023 $),Maximum Affordable Rent (30% of Income),2023 HUD 2BR Fair Market Rent,"% Income Needed for 2 BR, Median Wage Worker",# of Workers in 2022,Annual Wage as a % AMI for a Family of 3,Datasource,Report Name,URL
Baker County,"Baker County, FL HUD Metro FMR Area",All Occupations,21.15,1100,882,0.24,721380,0.57,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Automotive Service Technicians and Mechanics,21.05,1095,882,0.24,4020,0.57,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Bartenders,14.45,751,882,0.35,2780,0.39,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area","Bus Drivers, Transit and Intercity",17.85,928,882,0.28,400,0.48,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Carpenters,22.66,1178,882,0.22,3360,0.61,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Cashiers,13.47,700,882,0.38,15430,0.36,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area","Child, Family, and School Social Workers",22.89,1190,882,0.22,1180,0.62,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Childcare Workers,13.77,716,882,0.37,1780,0.37,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Construction Laborers,18.31,952,882,0.28,5140,0.49,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area","Cooks, Restaurant",15.29,795,882,0.33,8460,0.41,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Correctional Officers and Jailers,23.76,1235,882,0.21,940,0.64,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Customer Service Representatives,19.08,992,882,0.27,22000,0.51,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Dental Assistants,23.37,1215,882,0.22,1540,0.63,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Dishwashers,13.61,708,882,0.37,2080,0.37,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Electricians,24.86,1293,882,0.2,3510,0.67,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area","Elementary School Teachers, Except Special Education",34.71,1805,882,0.15,6220,0.93,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area","Farmworkers and Laborers, Crop, Nursery, and Greenhouse",14.44,751,882,0.35,200,0.39,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Fast Food and Counter Workers,11.8,614,882,0.43,20510,0.32,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Firefighters,29.57,1538,882,0.17,1640,0.79,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Food Preparation Workers,15.27,794,882,0.33,4450,0.41,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area","Hairdressers, Hairstylists, and Cosmetologists",14.83,771,882,0.34,1610,0.4,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",24.5,1274,882,0.21,2320,0.66,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Heavy and Tractor-Trailer Truck Drivers,24.32,1265,882,0.21,12370,0.65,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Home Health and Personal Care Aides,13.76,716,882,0.37,5250,0.37,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area","Hotel, Motel, and Resort Desk Clerks",14.63,761,882,0.35,1390,0.39,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area","Janitors and Cleaners, Except Maids and Housekeeping Cleaners",14.21,739,882,0.36,8800,0.38,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Landscaping and Groundskeeping Workers,16.31,848,882,0.31,5850,0.44,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Laundry and Dry-Cleaning Workers,13.75,715,882,0.37,830,0.37,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
