,COUNTY,1 (Detached),1 (Attached),2 Unts,3-4 Unts,5-9 Unts,10-19 Unts,Over 20 Unts,Mobile Home,"RV, Boat, etc."
0,All Counties,5231740.0,599418.0,194949.0,374317.0,465065.0,532816.0,1317928.0,831641.0,14450.0
4,Alachua County,60364.0,4681.0,3104.0,7501.0,9784.0,11113.0,13408.0,8827.0,79.0
12,Baker County,5701.0,58.0,357.0,75.0,85.0,0.0,23.0,3806.0,0.0
20,Bay County,52766.0,5473.0,2776.0,4719.0,5049.0,3622.0,16466.0,12835.0,354.0
28,Bradford County,6614.0,67.0,96.0,68.0,203.0,42.0,488.0,3177.0,16.0
36,Brevard County,190289.0,12738.0,4748.0,9184.0,14678.0,13369.0,23907.0,20843.0,558.0
44,Broward County,349394.0,69840.0,21428.0,39512.0,48222.0,64991.0,242293.0,23268.0,673.0
52,Calhoun County,3393.0,11.0,113.0,132.0,6.0,3.0,32.0,1961.0,29.0
60,Charlotte County,75366.0,3461.0,1668.0,3856.0,4096.0,4026.0,6407.0,12272.0,178.0
68,Citrus County,57817.0,2193.0,1064.0,1203.0,1347.0,362.0,816.0,17019.0,321.0
76,Clay County,62562.0,2937.0,482.0,2303.0,2585.0,1919.0,2015.0,10665.0,125.0
84,Collier County,97169.0,15209.0,5939.0,16182.0,20834.0,21487.0,41574.0,11189.0,231.0
92,Columbia County,15447.0,145.0,543.0,916.0,509.0,567.0,708.0,10791.0,209.0
100,DeSoto County,7971.0,432.0,507.0,372.0,767.0,224.0,116.0,4781.0,397.0
108,Dixie County,4105.0,39.0,29.0,72.0,129.0,0.0,15.0,4707.0,208.0
116,Duval County,262447.0,21704.0,7731.0,20429.0,23104.0,34854.0,49273.0,17484.0,304.0
124,Escambia County,99764.0,3943.0,4729.0,6211.0,5816.0,4819.0,11609.0,8687.0,545.0
132,Flagler County,45546.0,2506.0,722.0,833.0,583.0,831.0,3056.0,2237.0,12.0
140,Franklin County,5868.0,256.0,158.0,165.0,330.0,112.0,74.0,1409.0,43.0
148,Gadsden County,12220.0,204.0,221.0,473.0,423.0,93.0,119.0,5193.0,0.0
156,Gilchrist County,3717.0,21.0,20.0,63.0,26.0,10.0,8.0,3677.0,37.0
164,Glades County,2821.0,9.0,95.0,43.0,121.0,0.0,0.0,3331.0,134.0
172,Gulf County,6000.0,196.0,57.0,394.0,284.0,68.0,155.0,1657.0,173.0
180,Hamilton County,2800.0,76.0,90.0,151.0,16.0,14.0,58.0,2408.0,17.0
188,Hardee County,6076.0,68.0,268.0,104.0,537.0,141.0,152.0,2377.0,114.0
196,Hendry County,8457.0,311.0,235.0,580.0,78.0,43.0,181.0,5173.0,169.0
204,Hernando County,66514.0,2274.0,1003.0,1117.0,1764.0,886.0,1645.0,14276.0,156.0
212,Highlands County,35337.0,2606.0,1939.0,1263.0,861.0,445.0,1218.0,13319.0,617.0
220,Hillsborough County,344825.0,44961.0,10616.0,24713.0,33102.0,39525.0,67612.0,39670.0,1310.0
228,Holmes County,4924.0,130.0,106.0,137.0,76.0,30.0,28.0,3155.0,49.0
236,Indian River County,54808.0,3911.0,1596.0,2234.0,3280.0,6067.0,5851.0,5953.0,101.0
244,Jackson County,13197.0,146.0,359.0,291.0,246.0,4.0,141.0,5579.0,59.0
252,Jefferson County,3669.0,21.0,145.0,71.0,139.0,20.0,8.0,2668.0,0.0
