,COUNTY,Under $50k,$50k - $100k,$100k - $150k,$150k - $200k,$200k - $300k,$300k - $500k,$500k - $1M,$1M+
0,All Counties,343667.0,500332.0,575187.0,761311.0,1304637.0,1166748.0,457385.0,141611.0
4,Alachua County,2721.0,6985.0,8329.0,9540.0,14889.0,9562.0,3061.0,609.0
12,Baker County,1039.0,1295.0,788.0,1436.0,1224.0,830.0,72.0,72.0
20,Bay County,3597.0,6069.0,7246.0,8497.0,13601.0,8391.0,1656.0,417.0
28,Bradford County,732.0,1443.0,811.0,1100.0,991.0,688.0,340.0,63.0
36,Brevard County,8518.0,8063.0,15147.0,21112.0,52609.0,56066.0,23658.0,3930.0
44,Broward County,17270.0,25646.0,30242.0,33423.0,85266.0,157409.0,95093.0,21782.0
52,Calhoun County,774.0,635.0,565.0,598.0,448.0,235.0,122.0,29.0
60,Charlotte County,2692.0,3784.0,6320.0,8758.0,20322.0,18126.0,8539.0,1246.0
68,Citrus County,5031.0,7084.0,8818.0,9321.0,13115.0,11277.0,2544.0,471.0
76,Clay County,2695.0,3408.0,4156.0,9312.0,19622.0,17142.0,4162.0,543.0
84,Collier County,3151.0,2260.0,2987.0,7040.0,16882.0,35892.0,30568.0,18582.0
92,Columbia County,2209.0,3137.0,2943.0,3290.0,3810.0,2619.0,749.0,93.0
100,DeSoto County,1528.0,1741.0,1450.0,1459.0,1312.0,717.0,418.0,159.0
108,Dixie County,1287.0,1674.0,571.0,810.0,500.0,214.0,61.0,0.0
116,Duval County,10925.0,17225.0,22122.0,30756.0,61496.0,59217.0,20539.0,5800.0
124,Escambia County,5078.0,9265.0,11480.0,12567.0,20396.0,14240.0,5455.0,1410.0
132,Flagler County,981.0,756.0,1503.0,3682.0,12701.0,12694.0,4335.0,1028.0
140,Franklin County,298.0,529.0,395.0,313.0,810.0,882.0,464.0,149.0
148,Gadsden County,1606.0,3121.0,1418.0,1764.0,2210.0,1249.0,301.0,59.0
156,Gilchrist County,735.0,958.0,774.0,843.0,1097.0,854.0,390.0,33.0
164,Glades County,964.0,940.0,614.0,298.0,370.0,269.0,149.0,33.0
172,Gulf County,517.0,539.0,496.0,702.0,835.0,631.0,423.0,295.0
180,Hamilton County,680.0,919.0,808.0,255.0,241.0,196.0,57.0,77.0
188,Hardee County,763.0,1607.0,738.0,559.0,794.0,781.0,164.0,7.0
196,Hendry County,1107.0,1372.0,1996.0,1666.0,1736.0,912.0,329.0,151.0
204,Hernando County,4690.0,6174.0,6682.0,10589.0,20497.0,12201.0,2187.0,431.0
212,Highlands County,5457.0,5607.0,5518.0,6015.0,6783.0,4221.0,1216.0,209.0
220,Hillsborough County,16637.0,13052.0,20005.0,31728.0,92611.0,105958.0,47007.0,11535.0
228,Holmes County,1476.0,1347.0,935.0,609.0,607.0,220.0,198.0,17.0
236,Indian River County,3051.0,2868.0,3552.0,5895.0,13102.0,14606.0,6448.0,3182.0
