,COUNTY,pop2022,DataSource ,Report Name
000,All Counties,21634530,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
482,Alachua County,279730,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
483,Baker County,27970,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
484,Bay County,181055,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
485,Bradford County,27815,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
486,Brevard County,610725,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
487,Broward County,1940905,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
488,Calhoun County,13755,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
489,Charlotte County,189900,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
490,Citrus County,155175,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
491,Clay County,219650,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
492,Collier County,380220,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
493,Columbia County,69830,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
494,DeSoto County,34260,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
495,Dixie County,16735,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
496,Duval County,995710,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
497,Escambia County,321295,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
498,Flagler County,117515,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
499,Franklin County,12275,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
500,Gadsden County,43745,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
501,Gilchrist County,18070,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
502,Glades County,12180,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
503,Gulf County,15000,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
504,Hamilton County,13490,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
505,Hardee County,25530,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
506,Hendry County,39900,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
507,Hernando County,196620,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
508,Highlands County,102340,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
509,Hillsborough County,1468560,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
510,Holmes County,19530,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
511,Indian River County,160985,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
512,Jackson County,47705,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
513,Jefferson County,14460,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
514,Lafayette County,8105,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
515,Lake County,386830,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
516,Lee County,772900,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
517,Leon County,294130,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
518,Levy County,43270,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
519,Liberty County,7705,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data
