stusps,state,hud_area_code,COUNTY,county_town_name,metro,hud_area_name,fips,pop2022,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,DataSource ,Report Name,URL
AL,01,METRO33860M33860,Autauga County,,1,"Montgomery, AL MSA",0100199999,58760,848,888,1055,1345,1665,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data,https://www.huduser.gov/portal/datasets/fmr.html#data_2025
AL,01,METRO19300M19300,Baldwin County,,1,"Daphne-Fairhope-Foley, AL MSA",0100399999,233420,972,1043,1244,1550,1975,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data,https://www.huduser.gov/portal/datasets/fmr.html#data_2025
AL,01,NCNTY01005N01005,Barbour County,,0,"Barbour County, AL",0100599999,24875,587,648,772,996,1027,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data,https://www.huduser.gov/portal/datasets/fmr.html#data_2025
AL,01,METRO13820M13820,Bibb County,,1,"Birmingham-Hoover, AL HUD Metro FMR Area",0100799999,22250,998,1144,1267,1583,1791,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data,https://www.huduser.gov/portal/datasets/fmr.html#data_2025
AL,01,METRO13820M13820,Blount County,,1,"Birmingham-Hoover, AL HUD Metro FMR Area",0100999999,59075,998,1144,1267,1583,1791,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data,https://www.huduser.gov/portal/datasets/fmr.html#data_2025
AL,01,NCNTY01011N01011,Bullock County,,0,"Bullock County, AL",0101199999,10330,578,688,772,1017,1155,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data,https://www.huduser.gov/portal/datasets/fmr.html#data_2025
AL,01,NCNTY01013N01013,Butler County,,0,"Butler County, AL",0101399999,18980,600,684,809,975,1089,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data,https://www.huduser.gov/portal/datasets/fmr.html#data_2025
AL,01,METRO11500M11500,Calhoun County,,1,"Anniston-Oxford-Jacksonville, AL MSA",0101599999,116160,725,730,941,1295,1394,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data,https://www.huduser.gov/portal/datasets/fmr.html#data_2025
AL,01,NCNTY01017N01017,Chambers County,,0,"Chambers County, AL",0101799999,34610,733,760,997,1226,1322,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data,https://www.huduser.gov/portal/datasets/fmr.html#data_2025
AL,01,NCNTY01019N01019,Cherokee County,,0,"Cherokee County, AL",0101999999,25070,598,663,805,970,1211,U.S. Department of Housing and Urban Development (HUD),Fair Market Rents 2025 County Level Data,https://www.huduser.gov/portal/datasets/fmr.html#data_2025
