field_name,dk_column_name,description,dataset,data_source,source_link,year
b19083_001e,ACS - Gini Index of Income Inequality - Estimate,estimate-gini index,B19083 Gini Index of Income Inequality,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B19083?q=B19083: Gini Index of Income Inequality&g=010XX00US$1400000,2022
b19083_001m,ACS - Gini Index of Income Inequality - Margin of Error,margin_of_error-gini index,B19083 Gini Index of Income Inequality,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B19083?q=B19083: Gini Index of Income Inequality&g=010XX00US$1400001,2022
b23025_002e,ACS - Employment Status for the Population 16 Years and Over (In the Labor Forces) - Estimate,estimate-total:-in labor force:,B23025 Employment Status for the Population 16 Years and Over,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B23025?q=B23025: Employment Status&g=010XX00US$1400000,2022
b23025_002m,ACS - Employment Status for the Population 16 Years and Over (In the Labor Forces) - Margin of Error,margin_of_error-total:-in labor force:,B23025 Employment Status for the Population 16 Years and Over,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B23025?q=B23025: Employment Status&g=010XX00US$1400000,2022
b23025_003e,ACS - Employment Status for the Population 16 Years and Over (In the Labor Forces) - Total in Civilian Labor Force - Estimate,estimate-total:-in labor force:-civilian labor force:,B23025 Employment Status for the Population 16 Years and Over,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B23025?q=B23025: Employment Status&g=010XX00US$1400000,2022
b23025_003m,ACS - Employment Status for the Population 16 Years and Over (In the Labor Forces) - Total in Civilian Labor Force - Margin of Error,margin_of_error-total:-in labor force:-civilian labor force:,B23025 Employment Status for the Population 16 Years and Over,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B23025?q=B23025: Employment Status&g=010XX00US$1400000,2022
b23025_004e,ACS - Employment Status for the Population 16 Years and Over (In the Labor Forces) - By Employment Status - Number Employed - Estimate,estimate-total:-in labor force:-civilian labor force:-employed,B23025 Employment Status for the Population 16 Years and Over,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B23025?q=B23025: Employment Status&g=010XX00US$1400000,2022
b23025_004m,ACS - Employment Status for the Population 16 Years and Over (In the Labor Forces) - By Employment Status - Number Employed - Margin of Error,margin_of_error-total:-in labor force:-civilian labor force:-employed,B23025 Employment Status for the Population 16 Years and Over,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B23025?q=B23025: Employment Status&g=010XX00US$1400000,2022
b23025_005e,ACS - Employment Status for the Population 16 Years and Over (In the Labor Forces) - By Employment Status - Number Unemployed - Estimate,estimate-total:-in labor force:-civilian labor force:-unemployed,B23025 Employment Status for the Population 16 Years and Over,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B23025?q=B23025: Employment Status&g=010XX00US$1400000,2022
b23025_005m,ACS - Employment Status for the Population 16 Years and Over (In the Labor Forces) - By Employment Status - Number Unemployed - Margin of Error,margin_of_error-total:-in labor force:-civilian labor force:-unemployed,B23025 Employment Status for the Population 16 Years and Over,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B23025?q=B23025: Employment Status&g=010XX00US$1400000,2022
b23025_006e,ACS - Employment Status for the Population 16 Years and Over (In the Labor Forces) - By Employment Status - Number in Armed Forces - Estimate,estimate-total:-in labor force:-armed forces,B23025 Employment Status for the Population 16 Years and Over,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B23025?q=B23025: Employment Status&g=010XX00US$1400001,2022
b23025_006m,ACS - Employment Status for the Population 16 Years and Over (In the Labor Forces) - By Employment Status - Number in Armed Forces - Margin of Error,margin_of_error-total:-in labor force:-armed forces,B23025 Employment Status for the Population 16 Years and Over,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B23025?q=B23025: Employment Status&g=010XX00US$1400002,2022
b23025_007e,ACS - Employment Status for the Population 16 Years and Over (In the Labor Forces) - Total not in Labor Force - Estimate,estimate-total:-not in labor force,B23025 Employment Status for the Population 16 Years and Over,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B23025?q=B23025: Employment Status&g=010XX00US$1400003,2022
b23025_007m,ACS - Employment Status for the Population 16 Years and Over (In the Labor Forces) - Total not in Labor Force - Margin of Error,margin_of_error-total:-not in labor force,B23025 Employment Status for the Population 16 Years and Over,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B23025?q=B23025: Employment Status&g=010XX00US$1400004,2022
cancer,EJScreen - Air toxics cancer risk - Air toxics cancer risk,air toxics cancer risk,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_cancer,EJScreen - Air toxics cancer risk - Air toxics cancer risk - EJ Index,air toxics cancer risk ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
