geoid,geoid_year,state,county,state_fips_code,county_fips_code,med_hh_inc_est,med_inc_white_est,med_inc_black_est,med_inc_ai_an_est,med_inc_asian_est,med_inc_nhopi_est,med_inc_other_race_est,med_inc_2plus_races_est,med_inc_hisp_est,med_inc_white_nh_est,med_inc_age_15_24_est,med_inc_age_25_44_est,med_inc_age_45_64_est,med_inc_age_65plus_est,earn_med_est,earn_med_male_est,earn_med_fem_est,housecost_med_est,housecost_owner_est,housecost_rent_est
12001000202,2020, Florida, Alachua County,12,1,13045,15063,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,15167,13306,11863,-666666666,22727,-666666666,7938,15930,4983,1100,563,1136
12001000301,2020, Florida, Alachua County,12,1,45227,47643,33590,-666666666,-666666666,-666666666,-666666666,-666666666,5417,47883,-666666666,46509,46767,35208,29906,34000,24265,852,815,865
12001000700,2020, Florida, Alachua County,12,1,45649,60859,36538,-666666666,-666666666,-666666666,-666666666,-666666666,47209,64792,-666666666,45632,53348,41928,24255,28304,22468,869,818,979
12001000902,2020, Florida, Alachua County,12,1,2499,2499,-666666666,-666666666,2499,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,3824,4534,3382,738,-666666666,738
12001001000,2020, Florida, Alachua County,12,1,32762,32429,19154,-666666666,-666666666,-666666666,-666666666,42277,-666666666,40636,9093,105015,123056,97500,15343,14237,17286,1198,888,1347
12001001515,2020, Florida, Alachua County,12,1,24892,28977,33697,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,31782,18291,42531,42083,-666666666,20447,20221,20690,1041,520,1048
12001001517,2020, Florida, Alachua County,12,1,44880,42545,48506,-666666666,43567,-666666666,84844,64415,41250,44531,41915,46096,60459,14792,30390,32292,27091,1361,432,1393
12001001702,2020, Florida, Alachua County,12,1,67077,80091,-666666666,-666666666,-666666666,-666666666,-666666666,52610,39909,80091,-666666666,81429,65725,70433,38852,49674,31659,833,828,-666666666
12001001813,2020, Florida, Alachua County,12,1,108850,108480,108586,-666666666,130703,-666666666,-666666666,82361,132946,107905,71026,110341,130815,92361,51860,69400,44000,1405,1347,1863
12001001817,2020, Florida, Alachua County,12,1,95273,106592,67028,-666666666,-666666666,-666666666,-666666666,96094,96250,106539,-666666666,97143,105980,85058,51531,58167,47923,1337,1367,1220
12001001818,2020, Florida, Alachua County,12,1,87685,89336,25957,-666666666,-666666666,-666666666,-666666666,130949,131060,88750,-666666666,89400,90313,69448,39919,48382,34571,1041,1034,1112
12001001819,2020, Florida, Alachua County,12,1,69733,78906,55421,-666666666,-666666666,-666666666,-666666666,63945,71950,77072,-666666666,57432,86125,69762,54063,58235,46944,1178,1532,1094
12001001902,2020, Florida, Alachua County,12,1,30375,29071,31688,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,27714,-666666666,36918,23697,23472,15638,22896,14035,878,701,1098
12001002204,2020, Florida, Alachua County,12,1,105817,99142,116638,-666666666,216268,-666666666,-666666666,-666666666,86779,98701,-666666666,154837,116674,67092,55225,61500,46759,1743,1786,1660
12001002208,2020, Florida, Alachua County,12,1,126513,133661,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,110972,134732,-666666666,211719,145083,112222,59620,71550,46354,2049,1979,2159
