Census Tract,County,Housing Units Count,Occupied,Owner occupied,Renter occupied,Vacant,For rent,"Rented, not occupied",For sale only,"Sold, not occupied","For seasonal, recreational, or occasional use",For migrant workers,Other Vacant,$100 or less (contract),$100 to $149 (contract),$150 to $199 (contract),$200 to $249 (contract),$250 to $299 (contract),$300 to $349 (contract),$350 to $399 (contract),$400 to $449 (contract),$450 to $499 (contract),$500 to $549 (contract),$550 to $599 (contract),$600 to $649 (contract),$650 to $699 (contract),$700 to $749 (contract),$750 to $799 (contract),$800 to $899 (contract),$900 to $999 (contract),"$1,000 to $1,249 (contract)","$1,250 to $1,499 (contract)","$1,500 to $1,999 (contract)","$2,000 to $2,499 (contract)","$2,500 to $2,999 (contract)","$3,000 to $3,499 (contract)","$3,500 or more (contract)",No cash rent (contract),$100 or less (gross),$100 to $149 (gross),$150 to $199 (gross),$200 to $249 (gross),$250 to $299 (gross),$300 to $349 (gross),$350 to $399 (gross),$400 to $449 (gross),$450 to $499 (gross),$500 to $549 (gross),$550 to $599 (gross),$600 to $649 (gross),$650 to $699 (gross),$700 to $749 (gross),$750 to $799 (gross),$800 to $899 (gross),$900 to $999 (gross),"$1,000 to $1,249 (gross)","$1,250 to $1,499 (gross)","$1,500 to $1,999 (gross)","$2,000 to $2,499 (gross)","$2,500 to $2,999 (gross)","$3,000 to $3,499 (gross)","$3,500 or more (gross)",No cash gross rent (gross),10.0 percent or less,10.0 to 14.9 percent,15.0 to 19.9 percent,20.0 to 24.9 percent,25.0 to 29.9 percent,30.0 to 34.9 percent,35.0 to 39.9 percent,40.0 to 49.9 percent,50.0 percent or more,Not computed
12001000201,Alachua County,2232,1960,151,1809,272,47,0,15,0,0,0,210,0,0,0,0,0,0,0,0,17,67,86,34,31,313,222,488,105,129,31,0,178,0,68,0,40,0,0,0,0,0,0,0,0,0,67,0,0,36,249,177,384,64,384,131,31,169,9,47,21,40,0,68,0,104,102,169,29,129,1047,161
12001000202,Alachua County,1935,1690,301,1389,245,163,42,40,0,0,0,0,0,0,0,0,18,15,12,0,0,0,0,0,81,29,25,389,126,232,151,42,57,181,31,0,0,0,0,0,0,0,0,0,18,0,0,0,15,12,37,25,175,195,399,71,173,42,187,40,0,0,0,13,32,24,78,12,0,115,1017,98
12001000301,Alachua County,2113,1816,468,1348,297,92,107,34,31,0,0,33,0,0,13,16,31,14,13,0,0,71,106,118,77,214,103,173,60,44,178,56,14,0,0,0,47,0,0,0,16,31,0,40,0,0,42,23,14,61,185,113,194,126,175,74,179,14,14,0,0,47,8,156,249,259,96,85,56,77,287,75
12001000302,Alachua County,1393,1237,670,567,156,47,0,0,24,0,0,85,0,0,0,0,43,0,0,19,33,0,23,0,45,13,101,136,27,69,8,25,0,0,0,0,25,0,0,0,0,0,43,0,10,33,0,9,0,23,0,0,73,138,157,30,16,10,0,0,0,25,0,0,47,87,74,36,81,31,168,43
12001000400,Alachua County,2401,2242,1321,921,159,0,0,0,30,43,0,86,82,92,0,59,0,18,0,51,0,0,0,0,0,35,47,49,48,286,77,53,0,0,0,0,24,0,12,21,0,16,92,0,18,0,49,51,0,0,0,43,0,49,35,334,177,0,0,0,0,24,55,39,20,379,35,53,48,12,164,116
12001000500,Alachua County,2842,2451,1082,1369,391,103,51,0,47,136,0,54,0,0,0,68,0,0,0,0,40,17,22,11,49,81,85,299,40,313,118,189,19,0,0,0,18,0,0,0,68,0,0,0,0,0,0,0,17,0,20,57,121,234,268,295,208,63,0,0,0,18,0,67,72,291,175,150,168,161,204,81
12001000600,Alachua County,2168,1912,754,1158,256,0,18,0,0,34,0,204,17,28,35,48,258,0,0,0,27,28,36,88,15,36,121,81,96,68,35,57,0,0,0,0,84,17,0,0,0,232,58,51,0,0,27,29,0,14,22,6,101,90,226,92,52,57,0,0,0,84,31,180,93,79,62,9,56,27,514,107
12001000700,Alachua County,2910,2512,1644,868,398,0,32,53,0,33,0,280,0,0,138,0,0,61,68,10,0,0,28,75,28,43,0,171,22,117,0,0,0,0,0,0,107,0,0,0,87,51,0,0,61,68,0,10,0,0,0,0,0,131,240,113,0,0,0,0,0,107,0,0,0,183,194,63,51,111,42,224
12001000806,Alachua County,1623,1397,133,1264,226,154,0,0,0,0,0,72,0,0,0,0,0,0,0,9,0,0,10,34,51,100,280,180,197,105,55,132,89,14,0,0,8,0,0,0,0,0,0,0,0,9,0,0,0,0,41,109,260,296,166,130,123,96,26,0,0,8,20,42,17,56,133,85,73,164,540,134
12001000808,Alachua County,1534,1302,154,1148,232,213,0,0,19,0,0,0,0,0,0,0,0,0,11,33,0,0,72,12,0,27,25,121,231,342,148,49,48,0,0,0,29,0,0,0,0,0,0,0,0,0,33,35,37,12,0,27,43,61,427,161,209,74,0,0,0,29,52,56,125,154,114,91,28,67,432,29
12001000809,Alachua County,994,729,90,639,265,95,13,39,0,0,0,118,0,0,0,0,4,0,16,0,0,24,0,8,0,46,45,105,67,150,66,12,22,0,0,0,74,0,0,0,0,0,0,20,0,0,24,0,0,0,0,8,86,110,124,117,54,22,0,0,0,74,6,25,27,54,88,45,13,62,220,99
12001000901,Alachua County,605,350,8,342,255,216,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,35,66,93,76,48,0,18,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,36,81,99,86,16,3,15,0,0,0,0,0,6,0,19,19,27,66,41,53,22,78,17
12001000902,Alachua County,82,66,0,66,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,32,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,7,9,7,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,6,39,12
12001001000,Alachua County,3424,2955,1146,1809,469,364,48,17,0,40,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,55,29,278,230,125,256,387,184,14,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,157,220,341,234,429,224,66,0,42,0,17,8,89,31,25,131,83,167,1124,134
12001001100,Alachua County,3126,2871,2017,854,255,109,0,80,53,13,0,0,0,0,0,0,0,0,26,0,0,0,0,27,0,0,81,0,211,116,0,182,116,0,64,0,31,0,0,0,0,0,0,0,0,26,0,0,0,0,27,0,0,81,222,94,98,211,0,64,0,31,48,36,11,142,70,12,118,31,355,31
12001001201,Alachua County,1475,1358,926,432,117,49,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,13,116,7,0,21,0,17,78,115,18,40,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,41,88,0,7,21,100,102,66,0,0,0,0,7,0,28,53,12,41,96,11,0,157,34
12001001202,Alachua County,3451,3246,2340,906,205,169,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,13,82,225,74,217,70,173,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,71,244,246,114,59,0,0,0,18,62,77,174,102,276,57,50,29,61,18
12001001203,Alachua County,1846,1761,744,1017,85,69,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,14,0,12,24,56,76,78,171,186,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,12,0,98,32,182,74,555,50,0,0,0,0,9,42,131,116,107,129,144,121,204,14
12001001400,Alachua County,1035,950,694,256,85,8,0,15,0,0,0,62,0,0,0,0,0,11,0,0,0,27,5,7,30,50,0,33,6,11,34,17,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,11,0,7,3,32,38,89,0,51,0,0,0,0,25,7,3,49,26,40,9,14,18,65,25
12001001514,Alachua County,1224,970,24,946,254,242,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,0,44,87,67,245,40,219,210,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,26,62,226,138,194,225,41,0,0,6,7,62,92,43,40,95,82,99,319,107
12001001515,Alachua County,3494,2697,121,2576,797,797,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,83,156,164,260,141,83,420,324,564,83,115,109,0,0,0,29,0,0,0,0,0,0,45,0,0,19,0,149,0,150,115,336,297,845,277,154,160,0,0,0,29,0,145,234,231,81,306,97,360,785,337
12001001516,Alachua County,1488,1244,259,985,244,236,0,0,0,8,0,0,0,0,0,0,47,0,0,10,93,19,10,0,0,33,40,139,57,205,129,52,99,0,0,0,52,0,0,0,0,0,0,32,25,22,7,0,39,42,12,0,26,85,181,211,138,113,0,0,0,52,7,7,72,57,89,75,85,12,495,86
12001001517,Alachua County,2767,2377,210,2167,390,390,0,0,0,0,0,0,0,25,0,0,0,0,13,0,46,38,52,77,17,24,187,34,271,437,347,253,307,0,0,0,39,0,0,0,0,0,0,0,0,38,0,0,22,24,20,41,184,103,275,623,434,350,14,0,0,39,0,20,199,368,240,238,298,82,624,98
