geoid,geoid_year,state,county,state_fips_code,county_fips_code,total_cdfi_lending,med_mortgage_loan,med_property_value,med_sba_504_loan,med_sba_7a_loan,num_mortgage_loans,num_mortgage_denials,num_mortgages_origin,num_sba_504_loans,num_sba_7a_loans,pop_pct_2plus_races,pop_pct_white,pop_pct_black,pop_pct_american_indian,pop_pct_asian,pop_pct_native_hawaiian,pop_pct_other_race
12001000202,2020, Florida, Alachua County,12,1,6543.333333333333,205000.0,325000.0,,150000.0,36,4,23,,5,8.9,76.3,9.5,0.0,4.1,0.0,1.2
12001000301,2020, Florida, Alachua County,12,1,44290.0,165000.0,225000.0,351500.0,915000.0,83,15,40,4,2,6.8,57.8,30.7,0.0,2.1,0.0,2.6
12001000700,2020, Florida, Alachua County,12,1,74871.0,135000.0,185000.0,140000.0,,293,62,104,1,,2.5,31.8,62.8,0.1,0.0,0.0,2.8
12001000902,2020, Florida, Alachua County,12,1,0.0,225000.0,265000.0,,,2,0,1,,,7.6,73.5,9.4,0.1,8.8,0.0,0.7
12001001000,2020, Florida, Alachua County,12,1,47043.68397917472,305000.0,405000.0,149000.0,755000.0,159,13,85,3,3,9.5,79.2,5.2,0.0,4.2,0.0,1.8
12001001515,2020, Florida, Alachua County,12,1,57203.0,135000.0,195000.0,519000.0,490000.0,84,19,39,1,1,7.4,58.2,19.5,0.3,9.9,0.0,4.6
12001001517,2020, Florida, Alachua County,12,1,41896.0,125000.0,155000.0,182000.0,,106,18,50,1,,13.4,42.1,20.5,0.3,16.3,0.3,7.1
12001001702,2020, Florida, Alachua County,12,1,76718.99999999999,205000.0,325000.0,235000.0,,258,29,149,3,,11.8,80.5,5.8,0.0,1.1,0.0,0.8
12001001813,2020, Florida, Alachua County,12,1,180633.0,235000.0,335000.0,,150000.0,204,31,94,,1,4.9,75.9,12.5,0.0,6.8,0.0,0.0
12001001817,2020, Florida, Alachua County,12,1,61927.0,205000.0,325000.0,714000.0,748000.0,336,56,172,4,2,8.3,72.9,16.4,0.1,1.2,0.0,1.1
12001001818,2020, Florida, Alachua County,12,1,253192.5,185000.0,315000.0,460000.0,350000.0,437,54,243,4,3,6.5,85.0,7.6,0.2,0.0,0.0,0.7
