field_name,dk_column_name,description,dataset,data_source,source_link,year
air_toxics_cancer,EJScreen - Air toxics cancer risk - Air toxics cancer risk,air toxics cancer risk,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
air_toxics_cancer_ej,EJScreen - Air toxics cancer risk - Air toxics cancer risk - EJ Index,air toxics cancer risk ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
diesel_pm_ej,EJScreen - Diesel particulate matter - Diesel particulate matter - EJ Index,diesel particulate matter ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
lead_paint_ej,EJScreen - Lead Paint - Lead Paint - EJ Index,lead paint ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
ozone_ej,EJScreen - Ozone - Ozone - EJ Index,ozone ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
pm2_5_ej,EJScreen - Particulate Matter 2.5 - Particulate Matter 2.5 - EJ Index,particulate matter 2.5 ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
superfund_prox_ej,EJScreen - Superfund proximity - Superfund proximity - EJ Index,superfund proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
rmp_facility_prox_ej,EJScreen - RMP facility proximity - RMP facility proximity - EJ Index,rmp facility proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
traffic_prox_ej,EJScreen - Traffic proximity - Traffic proximity - EJ Index,traffic proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
haz_waste_prox_ej,EJScreen - Hazardous waste proximity - Hazardous waste proximity - EJ Index,hazardous waste proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
wastewater_ej,EJScreen - Wastewater discharge - Wastewater discharge - EJ Index,wastewater discharge ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
air_toxics_resp_ej,EJScreen - Air toxics respiratory HI - Air toxics respiratory HI - EJ Index,air toxics respiratory hi ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
toxic_releases_ej,EJScreen - Toxic Releases to Air - Toxic Releases to Air - EJ Index,toxic releases to air ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
underground_tanks_ej,EJScreen - Underground storage tanks - Underground storage tanks - EJ Index,underground storage tanks ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
air_toxics_cancer_supp,EJScreen - Air toxics cancer risk - Air toxics cancer risk - Supplemental Index,air toxics cancer risk supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
diesel_pm_supp,EJScreen - Diesel particulate matter - Diesel particulate matter - Supplemental Index,diesel particulate matter supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
lead_paint_supp,EJScreen - Lead Paint - Lead Paint - Supplemental Index,lead paint supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
ozone_supp,EJScreen - Ozone - Ozone - Supplemental Index,ozone supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
pm2_5_supp,EJScreen - Particulate Matter 2.5 - Particulate Matter 2.5 - Supplemental Index,particulate matter 2.5 supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
superfund_prox_supp,EJScreen - Superfund proximity - Superfund proximity - Supplemental Index,superfund proximity supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
rmp_facility_prox_supp,EJScreen - RMP facility proximity - RMP facility proximity - Supplemental Index,rmp facility proximity supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
traffic_prox_supp,EJScreen - Traffic proximity - Traffic proximity - Supplemental Index,traffic proximity supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
haz_waste_prox_supp,EJScreen - Hazardous waste proximity - Hazardous waste proximity - Supplemental Index,hazardous waste proximity supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
wastewater_supp,EJScreen - Wastewater discharge - Wastewater discharge - Supplemental Index,wastewater discharge supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
air_toxics_resp_supp,EJScreen - Air toxics respiratory HI - Air toxics respiratory HI - Supplemental Index,air toxics respiratory hi supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
