MTFCC,OID,GEOID,STATE,COUNTY,TRACT,BASENAME,NAME,LSADC,FUNCSTAT,AREALAND,AREAWATER,UR,CENTLAT,CENTLON,INTPTLAT,INTPTLON
G5020,2.07902E+15,12001000201,12,1,201,2.01,Census Tract 2.01,CT,S,1238506,,,29.6545414,-82.333741,29.6545414,-82.333741
G5020,2.07902E+15,12001000202,12,1,202,2.02,Census Tract 2.02,CT,S,857504,,,29.6461598,-82.3329534,29.6461598,-82.3329534
G5020,2.07904E+14,12001000301,12,1,301,3.01,Census Tract 3.01,CT,S,2479034,22169,,29.6666872,-82.3312113,29.6680039,-82.3314185
G5020,2.07904E+14,12001000302,12,1,302,3.02,Census Tract 3.02,CT,S,3819522,14011,,29.6835924,-82.3305007,29.6842448,-82.3300557
G5020,2.07903E+13,12001000400,12,1,400,4,Census Tract 4,CT,S,6010490,18712,,29.6777863,-82.3078758,29.6794765,-82.3081207
G5020,2.07903E+13,12001000500,12,1,500,5,Census Tract 5,CT,S,3917560,1068,,29.6567199,-82.3172229,29.6568455,-82.3169268
G5020,2.07903E+13,12001000600,12,1,600,6,Census Tract 6,CT,S,7590803,103244,,29.6530608,-82.2880477,29.655762,-82.2886904
G5020,2.07903E+13,12001000700,12,1,700,7,Census Tract 7,CT,S,22450707,456638,,29.6250359,-82.2911581,29.6280432,-82.2957817
G5020,2.07904E+14,12001000806,12,1,806,8.06,Census Tract 8.06,CT,S,949560,1453,,29.6399,-82.3321936,29.6391178,-82.3322072
G5020,2.07904E+14,12001000808,12,1,808,8.08,Census Tract 8.08,CT,S,2637623,188599,,29.6269255,-82.3329647,29.6274199,-82.3335258
G5020,2.07904E+14,12001000809,12,1,809,8.09,Census Tract 8.09,CT,S,1895352,632352,,29.6306432,-82.3464879,29.630952,-82.3479617
G5020,2.07903E+13,12001000901,12,1,901,9.01,Census Tract 9.01,CT,S,2210159,311755,,29.6435352,-82.3626087,29.6431195,-82.3538453
G5020,2.07903E+13,12001000902,12,1,902,9.02,Census Tract 9.02,CT,S,2033894,16577,,29.6456553,-82.3469662,29.646941,-82.3470521
G5020,2.07903E+13,12001001000,12,1,1000,10,Census Tract 10,CT,S,5635555,17810,,29.6587073,-82.3564394,29.6585473,-82.3550754
G5020,2.07903E+13,12001001100,12,1,1100,11,Census Tract 11,CT,S,7797946,,,29.6760057,-82.3672974,29.6760057,-82.3672974
G5020,2.07903E+13,12001001201,12,1,1201,12.01,Census Tract 12.01,CT,S,2801196,5978,,29.6964288,-82.379832,29.6958039,-82.3764147
G5020,2.07903E+13,12001001202,12,1,1202,12.02,Census Tract 12.02,CT,S,5862250,12288,,29.6942777,-82.359255,29.6941291,-82.3589343
G5020,2.07903E+13,12001001203,12,1,1203,12.03,Census Tract 12.03,CT,S,3146998,527,,29.6880423,-82.3445319,29.6877342,-82.3449419
G5020,2.07903E+13,12001001400,12,1,1400,14,Census Tract 14,CT,S,20940352,848989,,29.6580732,-82.2579172,29.6573246,-82.2610423
G5020,2.07904E+14,12001001514,12,1,1514,15.14,Census Tract 15.14,CT,S,1617727,10031,,29.6334339,-82.3635565,29.632827,-82.362705
G5020,2.07904E+14,12001001515,12,1,1515,15.15,Census Tract 15.15,CT,S,1550523,6403,,29.6248903,-82.3641736,29.624313,-82.3610145
G5020,2.07904E+14,12001001516,12,1,1516,15.16,Census Tract 15.16,CT,S,524639,,,29.6165535,-82.3588915,29.6165535,-82.3588915
G5020,2.07904E+14,12001001517,12,1,1517,15.17,Census Tract 15.17,CT,S,1508689,770,,29.6137144,-82.3674233,29.6134864,-82.3662197
G5020,2.07904E+14,12001001519,12,1,1519,15.19,Census Tract 15.19,CT,S,1962044,7459,,29.6142511,-82.3768126,29.612285,-82.3770724
G5020,2.07902E+15,12001001522,12,1,1522,15.22,Census Tract 15.22,CT,S,4466868,12648,,29.6316237,-82.3829735,29.6316915,-82.3830213
G5020,2.07902E+15,12001001605,12,1,1605,16.05,Census Tract 16.05,CT,S,7946622,150344,,29.6501214,-82.3926668,29.6489907,-82.3932456
G5020,2.07903E+13,12001001701,12,1,1701,17.01,Census Tract 17.01,CT,S,7918345,49789,,29.6818532,-82.4144768,29.6815829,-82.4192891
G5020,2.07903E+13,12001001702,12,1,1702,17.02,Census Tract 17.02,CT,S,7520642,104135,,29.6667917,-82.400964,29.670292,-82.3973086
G5020,2.07903E+13,12001001802,12,1,1802,18.02,Census Tract 18.02,CT,S,78183974,1050747,,29.7899146,-82.4091336,29.7936621,-82.4093261
