geoid,geoid_year,state,county,state_fips_code,county_fips_code,gini_index_est,med_hh_inc_est,pop_pct_60plus_est,med_mortgage_loan,housecost_owner_est,housecost_rent_est,housecost_rent_est_annual,Pct_AMI,Cost_Burden_Rent,GEOID,pop_pct_60plus_est_rank,Cost_Burden_Rent_rank,Pct_AMI_rank,Combined_Rank
12097040807,2020,Florida,Osceola County,12,97,0.5799,76582,28.8,255000,1791,1593,19116,0.847146017699115,0.249614791987673,12097040807,52,9,13,14
12097041101,2020,Florida,Osceola County,12,97,0.3293,52466,20.3,245000,1197,1556,18672,0.58037610619469,0.35588762246026,12097041101,37,37,39,38
12097041302,2020,Florida,Osceola County,12,97,0.4914,58267,13.8,205000,1271,1589,19068,0.644546460176991,0.327252132424872,12097041302,9,31,33,31.5
12097041502,2020,Florida,Osceola County,12,97,0.4609,76035,23,275000,1611,1705,20460,0.841095132743363,0.269086604853028,12097041502,43.5,20,16,20
12097042000,2020,Florida,Osceola County,12,97,0.4782,49278,12.2,245000,1738,1505,18060,0.545110619469027,0.366492146596859,12097042000,4.5,41,44,39
12097042604,2020,Florida,Osceola County,12,97,0.4524,43448,20.6,185000,958,1582,18984,0.480619469026549,0.436936107530841,12097042604,38,53,48,52
12097042701,2020,Florida,Osceola County,12,97,0.3129,55583,15.9,205000,1113,1618,19416,0.614856194690266,0.349315438173542,12097042701,17.5,35,36,33
12097043203,2020,Florida,Osceola County,12,97,0.4302,52083,27.3,205000,849,1629,19548,0.576139380530973,0.375324002073613,12097043203,50.5,46,40,49
12097043209,2020,Florida,Osceola County,12,97,0.3698,84635,20.1,325000,1870,745,8940,0.936227876106195,0.105630058486442,12097043209,35.5,1,9,6
12097043303,2020,Florida,Osceola County,12,97,0.4492,70978,19.5,305000,1506,1238,14856,0.785154867256637,0.209304291470597,12097043303,33,5,18,11
12097043400,2020,Florida,Osceola County,12,97,0.4442,59173,17.1,215000,1124,1441,17292,0.654568584070796,0.292227874199381,12097043400,28,25,32,29
12097043801,2020,Florida,Osceola County,12,97,0.3675,78929,19.6,325000,1674,1906,22872,0.873108407079646,0.289779422012188,12097043801,34,24,11,17
12097040801,2020,Florida,Osceola County,12,97,0.3804,78750,22.1,325000,1163,1313,15756,0.871128318584071,0.20007619047619,12097040801,41,4,12,9
12097040805,2020,Florida,Osceola County,12,97,0.3474,85750,9.6,355000,1573,1840,22080,0.948561946902655,0.257492711370262,12097040805,2,12,5.5,3
12097040808,2020,Florida,Osceola County,12,97,0.4342,98222,21.2,365000,2129,1790,21480,1.08652654867257,0.218688277575289,12097040808,40,6,2,5
12097040809,2020,Florida,Osceola County,12,97,0.3519,66461,14.1,235000,1157,1639,19668,0.735188053097345,0.2959329531605,12097040809,10,27,23,22
12097040811,2020,Florida,Osceola County,12,97,0.4187,62640,15,275000,1234,1665,19980,0.692920353982301,0.318965517241379,12097040811,12.5,30,27,27
12097040903,2020,Florida,Osceola County,12,97,0.4139,44219,15.9,185000,1259,1691,20292,0.489148230088496,0.458897758881929,12097040903,17.5,54,47,51
12097041003,2020,Florida,Osceola County,12,97,0.316,69923,16.4,235000,1327,1710,20520,0.773484513274336,0.293465669379174,12097041003,21.5,26,19,21
12097041004,2020,Florida,Osceola County,12,97,0.3497,75611,20.1,255000,1135,1667,20004,0.836404867256637,0.264564679742366,12097041004,35.5,17,17,15.5
12097041005,2020,Florida,Osceola County,12,97,0.5156,38159,61.4,245000,750,1135,13620,0.422112831858407,0.35692759244215,12097041005,56,38,54,56
12097041006,2020,Florida,Osceola County,12,97,0.3743,76042,22.6,285000,1469,1727,20724,0.841172566371681,0.272533599852713,12097041006,42,21,15,19
12097041102,2020,Florida,Osceola County,12,97,0.4153,69394,19,215000,1154,1545,18540,0.767632743362832,0.267170072340548,12097041102,32,19,20,18
12097041800,2020,Florida,Osceola County,12,97,0.4329,40425,16.2,225000,915,1193,14316,0.447179203539823,0.354137291280148,12097041800,20,36,49,42
12097041900,2020,Florida,Osceola County,12,97,0.3791,39014,9.1,165000,478,1257,15084,0.431570796460177,0.386630440354745,12097041900,1,49,53,47
12097042300,2020,Florida,Osceola County,12,97,0.4493,35970,24.1,185000,861,1144,13728,0.397898230088496,0.381651376146789,12097042300,46,47,55,53
12097042400,2020,Florida,Osceola County,12,97,0.4493,61544,28.9,205000,901,1775,21300,0.680796460176991,0.34609385155336,12097042400,53,33,30,35
12097042601,2020,Florida,Osceola County,12,97,0.3123,61875,16.8,205000,1150,1779,21348,0.68445796460177,0.345018181818182,12097042601,26,32,29,31.5
12097042603,2020,Florida,Osceola County,12,97,0.3129,66507,13.3,245000,1513,1446,17352,0.735696902654867,0.260904867156841,12097042603,7,14,22,13
12097042702,2020,Florida,Osceola County,12,97,0.3982,54887,15.6,195000,1080,1700,20400,0.607157079646018,0.371672709384736,12097042702,14.5,43,37,37
12097042800,2020,Florida,Osceola County,12,97,0.3458,88718,13.4,295000,1882,1941,23292,0.981393805309735,0.262539732635993,12097042800,8,15,4,7
12097042902,2020,Florida,Osceola County,12,97,0.3969,40217,26.2,245000,-666666666,1200,14400,0.444878318584071,0.358057537857125,12097042902,49,39,50,50
12097042904,2020,Florida,Osceola County,12,97,0.3992,63190,14.8,235000,1121,1185,14220,0.699004424778761,0.225035606899826,12097042904,11,8,26,12
12097043205,2020,Florida,Osceola County,12,97,0.433,61458,36,275000,1383,1125,13500,0.679845132743363,0.219662208337401,12097043205,55,7,31,28
12097043207,2020,Florida,Osceola County,12,97,0.306,85750,15.8,255000,1545,1849,22188,0.948561946902655,0.258752186588921,12097043207,16,13,5.5,8
12097043208,2020,Florida,Osceola County,12,97,0.3933,63214,16.5,265000,1439,1501,18012,0.699269911504425,0.284936881070649,12097043208,23.5,23,25,23
12097043600,2020,Florida,Osceola County,12,97,0.3899,112153,18.1,305000,1631,1766,21192,1.24063053097345,0.188956158105445,12097043600,30,3,1,2
