"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"DP1_0001C","Count!!SEX AND AGE!!Total population"
"DP1_0002C","Count!!SEX AND AGE!!Total population!!Under 5 years"
"DP1_0003C","Count!!SEX AND AGE!!Total population!!5 to 9 years"
"DP1_0004C","Count!!SEX AND AGE!!Total population!!10 to 14 years"
"DP1_0005C","Count!!SEX AND AGE!!Total population!!15 to 19 years"
"DP1_0006C","Count!!SEX AND AGE!!Total population!!20 to 24 years"
"DP1_0007C","Count!!SEX AND AGE!!Total population!!25 to 29 years"
"DP1_0008C","Count!!SEX AND AGE!!Total population!!30 to 34 years"
"DP1_0009C","Count!!SEX AND AGE!!Total population!!35 to 39 years"
"DP1_0010C","Count!!SEX AND AGE!!Total population!!40 to 44 years"
"DP1_0011C","Count!!SEX AND AGE!!Total population!!45 to 49 years"
"DP1_0012C","Count!!SEX AND AGE!!Total population!!50 to 54 years"
"DP1_0013C","Count!!SEX AND AGE!!Total population!!55 to 59 years"
"DP1_0014C","Count!!SEX AND AGE!!Total population!!60 to 64 years"
"DP1_0015C","Count!!SEX AND AGE!!Total population!!65 to 69 years"
"DP1_0016C","Count!!SEX AND AGE!!Total population!!70 to 74 years"
"DP1_0017C","Count!!SEX AND AGE!!Total population!!75 to 79 years"
"DP1_0018C","Count!!SEX AND AGE!!Total population!!80 to 84 years"
"DP1_0019C","Count!!SEX AND AGE!!Total population!!85 years and over"
"DP1_0020C","Count!!SEX AND AGE!!Total population!!Selected Age Categories!!16 years and over"
"DP1_0021C","Count!!SEX AND AGE!!Total population!!Selected Age Categories!!18 years and over"
"DP1_0022C","Count!!SEX AND AGE!!Total population!!Selected Age Categories!!21 years and over"
"DP1_0023C","Count!!SEX AND AGE!!Total population!!Selected Age Categories!!62 years and over"
"DP1_0024C","Count!!SEX AND AGE!!Total population!!Selected Age Categories!!65 years and over"
"DP1_0025C","Count!!SEX AND AGE!!Male population"
"DP1_0026C","Count!!SEX AND AGE!!Male population!!Under 5 years"
"DP1_0027C","Count!!SEX AND AGE!!Male population!!5 to 9 years"
"DP1_0028C","Count!!SEX AND AGE!!Male population!!10 to 14 years"
"DP1_0029C","Count!!SEX AND AGE!!Male population!!15 to 19 years"
"DP1_0030C","Count!!SEX AND AGE!!Male population!!20 to 24 years"
"DP1_0031C","Count!!SEX AND AGE!!Male population!!25 to 29 years"
"DP1_0032C","Count!!SEX AND AGE!!Male population!!30 to 34 years"
"DP1_0033C","Count!!SEX AND AGE!!Male population!!35 to 39 years"
"DP1_0034C","Count!!SEX AND AGE!!Male population!!40 to 44 years"
"DP1_0035C","Count!!SEX AND AGE!!Male population!!45 to 49 years"
"DP1_0036C","Count!!SEX AND AGE!!Male population!!50 to 54 years"
"DP1_0037C","Count!!SEX AND AGE!!Male population!!55 to 59 years"
"DP1_0038C","Count!!SEX AND AGE!!Male population!!60 to 64 years"
"DP1_0039C","Count!!SEX AND AGE!!Male population!!65 to 69 years"
"DP1_0040C","Count!!SEX AND AGE!!Male population!!70 to 74 years"
"DP1_0041C","Count!!SEX AND AGE!!Male population!!75 to 79 years"
"DP1_0042C","Count!!SEX AND AGE!!Male population!!80 to 84 years"
"DP1_0043C","Count!!SEX AND AGE!!Male population!!85 years and over"
"DP1_0044C","Count!!SEX AND AGE!!Male population!!Selected Age Categories!!16 years and over"
"DP1_0045C","Count!!SEX AND AGE!!Male population!!Selected Age Categories!!18 years and over"
"DP1_0046C","Count!!SEX AND AGE!!Male population!!Selected Age Categories!!21 years and over"
"DP1_0047C","Count!!SEX AND AGE!!Male population!!Selected Age Categories!!62 years and over"
"DP1_0048C","Count!!SEX AND AGE!!Male population!!Selected Age Categories!!65 years and over"
"DP1_0049C","Count!!SEX AND AGE!!Female population"
"DP1_0050C","Count!!SEX AND AGE!!Female population!!Under 5 years"
"DP1_0051C","Count!!SEX AND AGE!!Female population!!5 to 9 years"
"DP1_0052C","Count!!SEX AND AGE!!Female population!!10 to 14 years"
"DP1_0053C","Count!!SEX AND AGE!!Female population!!15 to 19 years"
"DP1_0054C","Count!!SEX AND AGE!!Female population!!20 to 24 years"
"DP1_0055C","Count!!SEX AND AGE!!Female population!!25 to 29 years"
