field_name,dk_column_name,description,dataset,data_source,source_link,year
b23025_003e,ACS - Employment Status for the Population 16 Years and Over (In the Labor Forces) - Total in Civilian Labor Force - Estimate,estimate-total:-in labor force:-civilian labor force:,B23025 Employment Status for the Population 16 Years and Over,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B23025?q=B23025: Employment Status&g=010XX00US$1400000,2022
b23025_003m,ACS - Employment Status for the Population 16 Years and Over (In the Labor Forces) - Total in Civilian Labor Force - Margin of Error,margin_of_error-total:-in labor force:-civilian labor force:,B23025 Employment Status for the Population 16 Years and Over,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B23025?q=B23025: Employment Status&g=010XX00US$1400000,2022
b23025_007e,ACS - Employment Status for the Population 16 Years and Over (In the Labor Forces) - Total not in Labor Force - Estimate,estimate-total:-not in labor force,B23025 Employment Status for the Population 16 Years and Over,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B23025?q=B23025: Employment Status&g=010XX00US$1400003,2022
b23025_007m,ACS - Employment Status for the Population 16 Years and Over (In the Labor Forces) - Total not in Labor Force - Margin of Error,margin_of_error-total:-not in labor force,B23025 Employment Status for the Population 16 Years and Over,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B23025?q=B23025: Employment Status&g=010XX00US$1400004,2022
cancer,EJScreen - Air toxics cancer risk - Air toxics cancer risk,air toxics cancer risk,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_cancer,EJScreen - Air toxics cancer risk - Air toxics cancer risk - EJ Index,air toxics cancer risk ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_dslpm,EJScreen - Diesel particulate matter - Diesel particulate matter - EJ Index,diesel particulate matter ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_ldpnt,EJScreen - Lead Paint - Lead Paint - EJ Index,lead paint ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_ozone,EJScreen - Ozone - Ozone - EJ Index,ozone ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_pm25,EJScreen - Particulate Matter 2.5 - Particulate Matter 2.5 - EJ Index,particulate matter 2.5 ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_pnpl,EJScreen - Superfund proximity - Superfund proximity - EJ Index,superfund proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_prmp,EJScreen - RMP facility proximity - RMP facility proximity - EJ Index,rmp facility proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_ptraf,EJScreen - Traffic proximity - Traffic proximity - EJ Index,traffic proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_ptsdf,EJScreen - Hazardous waste proximity - Hazardous waste proximity - EJ Index,hazardous waste proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_pwdis,EJScreen - Wastewater discharge - Wastewater discharge - EJ Index,wastewater discharge ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_resp,EJScreen - Air toxics respiratory HI - Air toxics respiratory HI - EJ Index,air toxics respiratory hi ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_rsei_air,EJScreen - Toxic Releases to Air - Toxic Releases to Air - EJ Index,toxic releases to air ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d2_ust,EJScreen - Underground storage tanks - Underground storage tanks - EJ Index,underground storage tanks ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
